timestamp,rubro,tamano,tama_o,aumento_salarial_2025_pct,cantidad_aumentos_2025,aumento_acumulado_2025,indicador_aumentos,otro_indicador,prevision_incorporacion,prevision_reduccion,rotacion_2025_pct,salario_ceo,"👤 ASISTENTE DE GERENTE GENERAL: Responsabilidad de llevar agenda laboral del Gerente General y su equipo de gerentes / directores. Gestionar y atender llamadas, correos, correspondencia, participación de eventos, etc. Participar de las reuniones de directorio, armar presentaciones, gestionar sala y equipos. Coordinar viajes, pasajes, traslados y estadías [Escribir el SUELDO BRUTO MENSUAL ej. 100000 sin puntos ni comas / En caso de no tener alguna posición similar en la empresa escribir el valor -> 0]",salario_director_comercial,salario_gerente_ventas,salario_jefe_ventas,salario_ejecutivo_ventas,salario_analista_ecommerce,salario_analista_facturacion,salario_gerente_marketing,salario_jefe_marketing,salario_analista_marketing,salario_gerente_comex,salario_responsable_comex,salario_asistente_comex,salario_atencion_cliente,salario_jefe_hospitalidad,salario_guia_turismo,salario_jefe_alimentos_bebidas,salario_chef_ejecutivo,salario_jefe_salon,salario_gerente_ops_hotel,salario_jefe_recepcion_hotel,salario_recepcionista_hotel,salario_concierge,salario_director_admin_finanzas,salario_gerente_admin_conta,salario_jefe_admin_conta,salario_analista_contabilidad,salario_jefe_impuestos,salario_analista_impuestos,salario_jefe_finanzas,salario_analista_cuentas_pagar,salario_empleado_administrativo,salario_jefe_creditos_cobranzas,salario_analista_cobranzas,salario_jefe_control_gestion,salario_analista_control_gestion,salario_auditor_interno,salario_recepcionista,salario_director_operaciones,salario_gerente_planta,salario_jefe_produccion,salario_ingeniero_procesos,salario_supervisor_produccion,salario_analista_produccion,salario_gerente_enologia,salario_jefe_bodega,salario_supervisor_bodega,salario_gerente_agricola,salario_ingeniero_agronomo,salario_supervisor_fincas,salario_jefe_laboratorio,salario_analista_laboratorio,salario_gerente_supply_chain,salario_jefe_planificacion,salario_jefe_logistica,salario_analista_logistica,salario_supervisor_depositos,salario_gerente_compras,salario_jefe_compras,salario_comprador_analista,salario_gerente_mantenimiento,salario_jefe_mantenimiento,salario_supervisor_mantenimiento,salario_tecnico_mantenimiento,salario_gerente_calidad,salario_jefe_calidad,salario_analista_calidad,salario_tecnico_calidad,salario_diseñador_grafico,salario_responsable_sustentabilidad,salario_gerente_seguridad,salario_jefe_seguridad,salario_tecnico_seguridad,salario_jefe_ingenieria,salario_ingeniero_proyectos,salario_asistente_proyecto,salario_jefe_obra,salario_supervisor_obra,salario_director_rrhh,salario_gerente_rrhh,salario_jefe_rrhh,salario_responsable_liquidacion,salario_analista_admin_personal,salario_jefe_seleccion,salario_analista_seleccion,salario_analista_capacitacion,salario_director_it,salario_gerente_it,salario_jefe_desarrollo,salario_programador,salario_analista_funcional,salario_jefe_redes,salario_tecnico_redes,salario_jefe_soporte,salario_analista_helpdesk,salario_joven_profesional,salario_pasante,🎁 Bonus GERENTE GENERAL (Los bonus estan expresados en cantidad de sueldos mensuales),bonus_directores,bonus_gerentes,bonus_jefes,bonus_supervisores,bonus_analistas,benef_medicina_prepaga,benef_reintegro_medicamentos,benef_prestamos,benef_almuerzo,benef_gimnasio,benef_gift_card,benef_red_descuentos,benef_descuento_productos,benef_combustible,benef_cochera,benef_auto_gerentes,benef_auto_vendedores,benef_gastos_auto,benef_tarjeta_credito,benef_colegio,benef_pension,benef_pago_dolares,benef_posgrados,benef_coaching,benef_idiomas,benef_internet,benef_vacaciones_adicionales,benef_home_office,benef_dia_flex,benef_cumpleanos,benef_maternidad,benef_paternidad,benef_after_office,benef_integracion,comentarios_beneficios,sugerencias_puestos,comentarios_generales,categoria_tamano,rubro_corto
##########,Otro Rubro,1 - 50 empleados,Pymes,46 - 50%,12,20%,Mismo % que se negocie con el gremio (paritarias),,"Si, en el segundo semestre",No tenemos previsto reducir puestos fuera de convenio en 2025,0% - No tuvimos Rotación de empleados fuera de convenio entre Enero y Agosto 2025,,0,,,,3200000.0,,,,,,,,,,,,,,,,,,,,,2850000.0,,,,,,,,,,1500000.0,,,,,2850000.0,,,1350000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600000.0,2100000.0,,,,,,,,,,,,,,,,,,,,,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,1 sueldo,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,Otorgamos SOLO a Directores - Gerentes - Jefes,En análisis / desarrollo,Si,No,No,No,No,Si,No,No,No,Si,No,No,No,No,No,Si,Si,No,No,Si,Si,Si,Si,Si,Si,Si,Si,,,,Pyme,Otro Rubro
##########,Vitivinícola,1 - 50 empleados,Pymes,11 - 15%,3,12%,No los tenemos definido todavía (lo vemos mes a mes),no,"Si, en el segundo semestre",No tenemos previsto reducir puestos fuera de convenio en 2025,1 - 5 %,5055807.0,0,,,,,,,,,,,,,,1958446.0,1037302.0,,,,,,,,,4760326.0,1956713.0,,,,,1417095.0,,,,,,,,,5340750.0,2800000.0,,,1502169.0,,2215342.0,,4439335.0,1600000.0,925236.0,,1470873.0,,2800000.0,,,,,,,,,,,,,1481686.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 sueldo,No tenemos asignado bonus a este nivel jerárquico,1 sueldo,1 sueldo,1 sueldo,1 sueldo,Otorgamos a TODOS los niveles Directores - Gerentes - Jefes - Supervisores - Analista - Empleados,No,Si,Si,No,No,No,Si,No,No,Si,No,Si,Si,No,No,No,Si,Si,Si,No,No,Si,Si,Si,No,No,Si,Si,no,,,Pyme,Vitivinícola
##########,Servicios,1 - 50 empleados,Pymes,No tenemos definido el aumento total para el 2025 (lo veremos mes a mes),No esta definido todavía,14%,Mismo % que se negocie con el gremio (paritarias),Encuesta salarial,"Si, en el segundo semestre",No tenemos previsto reducir puestos fuera de convenio en 2025,1 - 5 %,,0,,,2300000.0,,,,,,852000.0,,,,,,,,,,,,,,,,3138000.0,1015000.0,,,3138000.0,,1121000.0,,,,,,,,,2776000.0,,,1660000.0,,,,,,,,,,,,,,,,,,,,,,,1590000.0,,,,,,,,,1690000.0,,,,,,,,,,,,,,1930000.0,,,,,,,,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,NO otorgamos el beneficio de Medicina Prepaga a ningún empleado,No,Si,No,No,No,No,No,Si,No,No,No,Si,Si,No,No,En análisis / desarrollo,Si,En análisis / desarrollo,En análisis / desarrollo,Si,Si,Si,Si,Si,No,Si,En análisis / desarrollo,En análisis / desarrollo,"Full home office, cabify corp.",Legales,,Pyme,Servicios
##########,"Energía, Petroleo, Minería, Servicios relacionados",1 - 50 empleados,Pymes,26 - 30%,3,20%,Tomamos otro indicador / parámetro para dar los aumentos (indicar abajo),Inflacion,"Si, a lo largo de todo el año",No tenemos previsto reducir puestos fuera de convenio en 2025,1 - 5 %,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423757.0,,,,,,,,3531535.0,,2434027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450435.0,3531321.0,2400000.0,2083207.0,,,,,,,,,1865902.0,,,,,,,,,,,,,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,1/2 sueldo,1/2 sueldo,Otorgamos a TODOS los niveles Directores - Gerentes - Jefes - Supervisores - Analista - Empleados,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,Si,realizamos una vez a la semana desayuno saludable en el comedor.,"Ingenieros junior, senior",0,Pyme,Energía y Minería
##########,Vitivinícola,1 - 50 empleados,Pymes,26 - 30%,3,15%,IPC Nacional,0,No tenemos previsto incorporar nuevos puestos fuera de convenio en 2025,No tenemos previsto reducir puestos fuera de convenio en 2025,No medimos la Rotación de los empleados fuera de convenio,11139000.0,0,,,,2500000.0,,,,,,,,,,2300000.0,,,,,,,,,,,3129000.0,,,,,,,,,,,,,,,,,1900000.0,,3755000.0,,1250000.0,,,,,1819000.0,,,,,1909000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 sueldos,2 sueldos,2 sueldos,"1,5 sueldos",1 sueldo,1 sueldo,Otorgamos SOLO a Directores - Gerentes - Jefes,No,Si,Si,No,No,No,Si,Si,No,Si,No,Si,Si,No,No,No,No,Si,Si,No,No,Si,Si,No,No,No,Si,Si,0,0,0,Pyme,Vitivinícola
##########,Financiero,1 - 50 empleados,Pymes,No tenemos definido el aumento total para el 2025 (lo veremos mes a mes),No esta definido todavía,15%,Mismo % que se negocie con el gremio (paritarias),0,No tenemos previsto incorporar nuevos puestos fuera de convenio en 2025,"Si, a lo largo de todo el año",21 - 25%,,0,,,,,,,,,,,,,1420000.0,,,,,,,,,,,,,1450000.0,,1430000.0,2300000.0,1650000.0,1400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600000.0,,,,,,,,,,,,,,,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,Otorgamos a TODOS los niveles Directores - Gerentes - Jefes - Supervisores - Analista - Empleados,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,No,No,0,0,0,Pyme,Financiero
##########,Vitivinícola,1 - 50 empleados,Pymes,26 - 30%,12,17%,IPC Nacional,IPC NACIONAL,"Si, en el primer semestre",No tenemos previsto reducir puestos fuera de convenio en 2025,0% - No tuvimos Rotación de empleados fuera de convenio entre Enero y Agosto 2025,,0,,,,,,,,,,,,,,,,,,,,,,,,,2669430.0,,,,,1141695.0,,,,,,,,,,2441880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 sueldo,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,1 sueldo,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,Otorgamos SOLO a Directores y Gerentes,No,Si,Si,No,Si,No,Si,Si,No,No,No,Si,En análisis / desarrollo,En análisis / desarrollo,No,No,En análisis / desarrollo,En análisis / desarrollo,En análisis / desarrollo,No,En análisis / desarrollo,No,Si,Si,En análisis / desarrollo,No,No,En análisis / desarrollo,0,,,Pyme,Vitivinícola
##########,Vitivinícola,1 - 50 empleados,Pymes,26 - 30%,6,19%,IPC Nacional,.,"Si, en el segundo semestre",No tenemos previsto reducir puestos fuera de convenio en 2025,No medimos la Rotación de los empleados fuera de convenio,8360706.0,0,,11860706.0,,1651360.0,,1863500.0,,,,,,,,,,,,,,,,,,9007638.0,2627263.0,,,,,1572076.0,,,,,,,,,9060706.0,3012048.0,1314536.0,,,5903885.0,2224571.0,1137861.0,,2336461.0,973185.0,,1265060.0,,,1965478.0,1720784.0,,,3030660.0,1542180.0,,,,1307310.0,,2679848.0,1269207.0,,1316502.0,,,,,,,,,,,,,1863500.0,,,,,,,,,,,,,,,450000.0,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,2 sueldos,1 sueldo,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,Otorgamos a TODOS los niveles Directores - Gerentes - Jefes - Supervisores - Analista - Empleados,No,Si,Si,No,No,No,Si,Si,Si,No,No,Si,Si,No,No,No,No,No,No,No,Si,Si,Si,No,No,No,Si,Si,KIT ESCOLAR - VACUNA ANTIGRIPAL,RESPONSABLE DE DEPÓSITO - JEFE DE SUPPLY CHAIN,,Pyme,Vitivinícola
##########,Servicios,1 - 50 empleados,Pymes,6 - 10 %,2,6%,IPC Nacional,CCT que regula la actividad,No tenemos previsto incorporar nuevos puestos fuera de convenio en 2025,No tenemos previsto reducir puestos fuera de convenio en 2025,6 - 10 %,,0,,,,900.0,,,,,,,,,900000.0,,,,,,,,,,,,,,,,,,,,,,900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580000.0,,,,,,,,,,,,,,,,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,Otorgamos SOLO a Directores y Gerentes,No,No,En análisis / desarrollo,No,No,No,No,No,No,No,No,En análisis / desarrollo,En análisis / desarrollo,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,Pyme,Servicios
##########,Servicios,1 - 50 empleados,Pymes,No tenemos definido el aumento total para el 2025 (lo veremos mes a mes),2,12%,Mismo % que se negocie con el gremio (paritarias),no,"Si, a lo largo de todo el año",No tenemos previsto reducir puestos fuera de convenio en 2025,0% - No tuvimos Rotación de empleados fuera de convenio entre Enero y Agosto 2025,,1.650.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122812.0,,950000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000.0,950000.0,750000.0,,,,,,,,,,1120000.0,1120000.0,950000.0,950000.0,,,,,,,,,,,,,,,,,,,650000.0,450000.0,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,Otorgamos a TODOS los niveles Directores - Gerentes - Jefes - Supervisores - Analista - Empleados,No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,Si,No,No,Si,No,Si,No,En análisis / desarrollo,En análisis / desarrollo,No,Si,no tenemos,no,no,Pyme,Servicios
##########,Comercio,1 - 50 empleados,Pymes,No tenemos definido el aumento total para el 2025 (lo veremos mes a mes),No esta definido todavía,12%,Mismo % que se negocie con el gremio (paritarias),0,No tenemos previsto incorporar nuevos puestos fuera de convenio en 2025,No tenemos previsto reducir puestos fuera de convenio en 2025,0% - No tuvimos Rotación de empleados fuera de convenio entre Enero y Agosto 2025,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000.0,,1560000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,NO otorgamos el beneficio de Medicina Prepaga a ningún empleado,No,No,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,Si,No,No,No,No,No,0,,,Pyme,Comercio
##########,Otro Rubro,1 - 50 empleados,Pymes,21 - 25%,4,17%,IPC Nacional,dólar,"Si, en el segundo semestre",No tenemos previsto reducir puestos fuera de convenio en 2025,No medimos la Rotación de los empleados fuera de convenio,9566000.0,1.500.000,,,,1700000.0,,,,,,,,,,,,,,,,,,,4972000.0,,2070000.0,1642000.0,,,,,,,,,1400000.0,,,,,,,,,,,,,,,,,,,,,,,1893000.0,,,,,,,,,,,,,,1708000.0,2650000.0,,,,,,,,,,,,,,,,,,,,,,,,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,NO otorgamos el beneficio de Medicina Prepaga a ningún empleado,No,No,No,No,No,No,Si,No,No,Si,No,Si,Si,Si,En análisis / desarrollo,No,En análisis / desarrollo,Si,No,No,Si,En análisis / desarrollo,Si,En análisis / desarrollo,No,No,No,Si,Flexibilidad en la elección del horario de ingreso,,,Pyme,Otro Rubro
##########,Industria,1 - 50 empleados,Pymes,16 - 20 %,1,> 20%,En función de los % que digan las Encuestas Salariales,0,"Si, en el segundo semestre",No tenemos previsto reducir puestos fuera de convenio en 2025,> 30%,,0,,,2300000.0,,,,,,,,,1800000.0,,,,,,,,,,,,,3500000.0,2100000.0,,,3500000.0,,1800000.0,,,,,,,,,,,,,,,,,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700000.0,3 sueldos,2 sueldos,2 sueldos,1 sueldo,1/2 sueldo,1/2 sueldo,NO otorgamos el beneficio de Medicina Prepaga a ningún empleado,No,Si,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,En análisis / desarrollo,Si,No,No,Si,En análisis / desarrollo,No,Si,No,No,No,No,0,0,0,Pyme,Industria
##########,Vitivinícola,1 - 50 empleados,Pymes,No tenemos definido el aumento total para el 2025 (lo veremos mes a mes),No esta definido todavía,16%,IPC Nacional,0,No tenemos previsto incorporar nuevos puestos fuera de convenio en 2025,No tenemos previsto reducir puestos fuera de convenio en 2025,0% - No tuvimos Rotación de empleados fuera de convenio entre Enero y Agosto 2025,,0,,4000000.0,,1700000.0,,1400000.0,4000000.0,,1900000.0,5000000.0,,2300000.0,,2000000.0,1200000.0,,,,,,,,,4100000.0,,,,,,1380000.0,1260000.0,,,,,,1030000.0,,4315000.0,,,,,4315000.0,,1310000.0,,2436000.0,,,940000.0,,,,,,,,1550000.0,,,,,,1910000.0,1200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,2 sueldos,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,Otorgamos SOLO a Directores - Gerentes - Jefes,No,Si,Si,No,No,No,Si,Si,Si,No,No,Si,Si,No,No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,0,,,Pyme,Vitivinícola
##########,Financiero,1 - 50 empleados,Pymes,26 - 30%,4,18%,IPC Nacional,0,"Si, en el segundo semestre",No tenemos previsto reducir puestos fuera de convenio en 2025,No medimos la Rotación de los empleados fuera de convenio,7200000.0,0,,,,3000000.0,,,,,,,,,,,,,,,,,,,,4000000.0,,,,,,,1200000.0,,,,,,,,3500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 sueldos,No tenemos asignado bonus a este nivel jerárquico,2 sueldos,2 sueldos,2 sueldos,2 sueldos,Otorgamos a TODOS los niveles Directores - Gerentes - Jefes - Supervisores - Analista - Empleados,No,En análisis / desarrollo,Si,Si,No,Si,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,Si,Si,No,En análisis / desarrollo,En análisis / desarrollo,Si,Si,0,,,Pyme,Financiero
##########,Vitivinícola,1 - 50 empleados,Pymes,No tenemos definido el aumento total para el 2025 (lo veremos mes a mes),4,15%,IPC Nacional,0,"Si, en el segundo semestre",No tenemos previsto reducir puestos fuera de convenio en 2025,No medimos la Rotación de los empleados fuera de convenio,,0,,,,,,,,,,,,,,2771084.0,1504462.0,,,,,,,,5162500.0,,3252375.0,,,,,1628924.0,,,,,,,,5857500.0,,2429660.0,,,1535225.0,4046574.0,2082565.0,,,,1443112.0,,1688748.0,,,,,,,,2321700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No tenemos asignado bonus a este nivel jerárquico,2 sueldos,2 sueldos,2 sueldos,No tenemos asignado bonus a este nivel jerárquico,1 sueldo,Otorgamos a TODOS los niveles Directores - Gerentes - Jefes - Supervisores - Analista - Empleados,No,Si,Si,No,No,No,Si,Si,No,Si,No,Si,No,No,No,No,En análisis / desarrollo,En análisis / desarrollo,Si,No,No,Si,Si,No,En análisis / desarrollo,En análisis / desarrollo,No,Si,0,,"Sería importante conocer el tratamiento de ganancias, ya que el impacto es importante en lo que recibe el empleado en mano y es clave al momento de retención de talentos",Pyme,Vitivinícola
##########,Comercio,1 - 50 empleados,Pymes,21 - 25%,4,17%,Mismo % que se negocie con el gremio (paritarias),IPC nacional,No tenemos previsto incorporar nuevos puestos fuera de convenio en 2025,No tenemos previsto reducir puestos fuera de convenio en 2025,0% - No tuvimos Rotación de empleados fuera de convenio entre Enero y Agosto 2025,9000000.0,0,,4500000.0,,,1772000.0,1239000.0,,,,,,619000.0,,,,,,,,,,,,4500000.0,,1619000.0,,1575000.0,,,,,,,,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,4500000.0,,,,,,,2000000.0,,,,,,,,,,,,,,,,,3 sueldos,No tenemos asignado bonus a este nivel jerárquico,3 sueldos,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,Otorgamos SOLO a Directores - Gerentes - Jefes,No,Si,No,No,En análisis / desarrollo,Si,Si,En análisis / desarrollo,Si,Si,Si,Si,Si,No,No,No,Si,Si,Si,No,No,No,Si,Si,No,No,No,Si,premio por presentismo,,,Pyme,Comercio
##########,"Transporte, Logística, Almacenamiento",1 - 50 empleados,Pymes,21 - 25%,6,18%,En función de los % que digan las Encuestas Salariales,IPC y encuestas salariales,"Si, en el segundo semestre",No tenemos previsto reducir puestos fuera de convenio en 2025,26 - 30%,5000000.0,0,,,5000000.0,,,1180000.0,,,,,3000000.0,1800000.0,,,,,,,,,,,,,4000000.0,2100000.0,,,,,1200000.0,,1180000.0,,,,,,,,,,,,,,,,,,,,,2300000.0,1400000.0,,,,,,,1800000.0,2000000.0,,,,,,,,,,,,,,,,,,1800000.0,,,,,,,,,,,,,,,480000.0,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,Otorgamos a TODOS los niveles Directores - Gerentes - Jefes - Supervisores - Analista - Empleados,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,-,Maestranza,-,Pyme,Transporte y Logística
##########,Industria,1 - 50 empleados,Pymes,16 - 20 %,8,14%,IPC Nacional,0,No tenemos previsto incorporar nuevos puestos fuera de convenio en 2025,"Si, en el segundo semestre",1 - 5 %,33025000.0,0,,,2372253.0,2282621.0,,,,,,,,,,1381576.0,1318409.0,,,,,,,,,,1631818.0,1577521.0,,,,,1149695.0,,,,,,,,,,,,1069233.0,,1312403.0,,,,1329486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,NO otorgamos el beneficio de Medicina Prepaga a ningún empleado,No,Si,No,No,No,No,Si,No,Si,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,,Pyme,Industria
##########,Industria,1 - 50 empleados,Pymes,No tenemos definido el aumento total para el 2025 (lo veremos mes a mes),4,15%,IPC Nacional,no,No tenemos previsto incorporar nuevos puestos fuera de convenio en 2025,"Si, en el segundo semestre",0% - No tuvimos Rotación de empleados fuera de convenio entre Enero y Agosto 2025,12900000.0,0,,8000000.0,3800000.0,,,,,,,,,,1950000.0,,,,,,,,,,4850000.0,,,,,,2250000.0,,,,2000000.0,4430000.0,,,,5500000.0,,3400000.0,,2300000.0,2560000.0,,,,,,,,,,,,1900000.0,,4100000.0,,,,,2600000.0,2200000.0,,3400000.0,,,2000000.0,,,3100000.0,,3600000.0,,,,,,,,,1620000.0,,,,,,,,,,,,,,,2 sueldos,1 sueldo,1 sueldo,1 sueldo,1 sueldo,1/2 sueldo,Otorgamos a TODOS los niveles Directores - Gerentes - Jefes - Supervisores - Analista - Empleados,No,En análisis / desarrollo,Si,No,No,No,No,No,Si,Si,Si,Si,No,No,No,No,No,No,Si,No,No,No,Si,Si,Si,Si,No,No,Asados los viernes,,,Pyme,Industria
##########,Otro Rubro,1 - 50 empleados,Pymes,16 - 20 %,No esta definido todavía,11%,Mismo % que se negocie con el gremio (paritarias),NO,No tenemos previsto incorporar nuevos puestos fuera de convenio en 2025,"Si, a lo largo de todo el año",6 - 10 %,,0,,,,1570000.0,,,,,,,,,,,,,,,,,,,,6246732.0,,,,,,1856342.0,,,1856342.0,,,,,,,4385065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4061100.0,,,,,,,,,,,,,,,,,,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,4 sueldos,No tenemos asignado bonus a este nivel jerárquico,1 sueldo,No tenemos asignado bonus a este nivel jerárquico,Otorgamos a TODOS los niveles Directores - Gerentes - Jefes - Supervisores - Analista - Empleados,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,,Pyme,Otro Rubro
##########,Industria,1 - 50 empleados,Pymes,No tenemos definido el aumento total para el 2025 (lo veremos mes a mes),1,No dimos aumentos de Enero hasta Agosto 2025,IPC Nacional,no,No tenemos previsto incorporar nuevos puestos fuera de convenio en 2025,No tenemos previsto reducir puestos fuera de convenio en 2025,1 - 5 %,,0,6000000.0,,,,,,,,,3600000.0,,1900000.0,,3250500.0,1200500.0,,,,,,,,,,,,,,3500000.0,1600000.0,,,,,,,,,3500000.0,2100000.0,,1300000.0,,,,,,2500000.0,,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,1 sueldo,1 sueldo,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,Otorgamos SOLO a Directores - Gerentes - Jefes,No,No,No,No,No,No,Si,No,No,No,No,No,Si,No,No,No,No,No,No,No,En análisis / desarrollo,No,No,No,No,No,No,No,ninguno,0,no,Pyme,Industria
##########,Servicios,1 - 50 empleados,Pymes,No tenemos definido el aumento total para el 2025 (lo veremos mes a mes),4,20%,"Dolar, IPC, aumento convenio, aumento productos.",no,No tenemos previsto incorporar nuevos puestos fuera de convenio en 2025,No tenemos previsto reducir puestos fuera de convenio en 2025,0% - No tuvimos Rotación de empleados fuera de convenio entre Enero y Agosto 2025,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000.0,,1600000.0,,,,,,,,,,,,,,,,,,,,,,,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,2 sueldos,"1,5 sueldos",No tenemos asignado bonus a este nivel jerárquico,No tenemos asignado bonus a este nivel jerárquico,NO otorgamos el beneficio de Medicina Prepaga a ningún empleado,En análisis / desarrollo,Si,No,No,No,No,Si,No,Si,No,No,Si,Si,No,No,No,No,No,No,No,En análisis / desarrollo,No,En análisis / desarrollo,En análisis / desarrollo,En análisis / desarrollo,En análisis / desarrollo,Si,Si,festejo del Cumpleaños,,,Pyme,Servicios
